No.,Form,Additional description,Who can find this clue,How to use the clue,Question,Location,Interactions/dialogue,No.,Question,Answer,Additional Description,Difficulty,Positive Clues,Negative Clues,Enough Clues?,Fake Answers
1,"Purple hammer, purple coat, and purple paint bucket rimmed with blue",-,"Frog, can see colors","The player notices that the paint bucket's original color was blue, so the purple must've come from blood -> the hammer was dipped in the paint bucket and the coat covered in paint to remove traces -> the murder weapon was the hammer","1,3,4",Alley,"Strange! The bucket is rimmed with blue, but this paint certainly isn't. And this coat... can't have been very comfortable, it's all damp. ",1,The victim was injured using,a hammer,"cause of injury, murder weapon",Medium,"1,2",18,TRUE,"a knife, a hat, a street lamp, the cold"
2,Blood splatter,-,"Frog, can see colors","The blood has dried slightly, but retains its colour. This suggests that the murder happened recently, maybe only a matter of hours ago.","1,12",Murder scene,"The blood is still bright red, but it's solidified a little bit. Maybe the cold has kept it fresh?",2,The corpse was,digested,"in terms of how the corpse was moved post mortem, how it disappeared",Easy,20,,TRUE,"buried in the ground, sliced and diced, moved to the east, moved to the west"
3,"Club door/arrow/sign that clears the existence of the club, preferably text that says there exists a club",-,"Scorpion, because frog is illiterate","Together with clue no. 9, the player puts two and two together by considering that the club would have people who can provide the perfect alibi",5,Alley,"A hole in the wall joint. Well hidden, but certainly not abandoned.",3,The killer's getaway route's safe place was the,alley,,Easy,1,,TRUE,"club, city square, cafe, sewers"
4,Club no entry sign,"The club door in the alley says "" NO ENTRY IF WET""","Scorpion, because frog is illiterate","Together with clue no.5 and 6, the player realises that when the murder happened, the killer couldn't have entered the club",6,Alley,A sign. Its instructions are pretty clear - soaking wet? Out you get.  ,4,The reason the killer chose the safe place was to,hide evidence,,Easy,1,,TRUE,"provide an alibi, exit the city"
5,Scorpion says his coat is getting damp because of the snow,-,"Scorpion, he's outside the cafe",See clue no. 4,6,Cafe,I'm going to need a change of clothes soon. This chill is seeping right into my bones.,5,The killer’s planned escape route finished at the,club,because it's the perfect place to get an alibi,Medium-Hard,"3,9",,TRUE,"alley, city square, cafe, sewers"
6,"Scorpion says it was snowing really heavily in the evening, when interacting with the snow?",,Scorpion,See clue no. 4,6,Murder scene,"It was really coming down last night, huh? I don't think anyone made it out of last night's storm without damp socks.",6,"During the actual escape, the killer wasn’t able to go to the",club,,Medium,"4,5,6",,TRUE,"alley, city square, cafe, sewers"
7,Scorpion remarks that it gets really crowded here in the morning when people are going to work,"The monologue continues with him commenting on different times of day. The evening is similar to the morning with people going home, and he they like the night more, there are less people then. He likes less people because it's more silent",Scorpion,"Together with clue no. 6, the player takes this into account when routing the killer's getaway, because when it's more crowded in the evening and therefore easier to move stealthily. Also the snow was heavy so it provided good cover.","12,14",Murder scene,"It's always so busy here, at the open and close of every day. Everyone goes to work and comes home again, like clockwork. I like to come out here sometimes after the evening rush, to get away from all the people - I prefer it when it's quieter. Easier to think.",7,The reason the plan deviated was because of the,heavy snow,,Medium,"4,5,6",,TRUE,"time of day, blood everywhere, detective coming earlier"
8,NPC greets frog in the bar and mentions seeing him already that day,The conversation continues with frog saying he's a regular to scorpion and he was drinking when the murder happened,"Frog, he's inside the cafe","Very neutral clue, moreso helps in justifying the final killer reveal",11,Cafe,"Hey, Ferd! Fancy seeing you here again. Back for another drink with your pal?",8,The killer's impromptu place was the,cafe,,Medium,17,,TRUE,"alley, city square, club, sewers"
9,"NPC says that they just went to the club and it was funny that their friend thought they had been there right from the start of the dance. But no, they only joined at the last hour.","NPC remarks that there's so much going on (loud music, thumping bass, strobe lights and drunk people) that everyone is too focused on themselves to really notice anyone acting strangely","Frog, he's inside the cafe","Maybe a bit of a stretch, but the idea is this implies that people at the club would be the perfect alibi. Something like ""Yeah he was there since the start!""",5,Cafe,"Yaknow, it's a funny place, that. I just dipped in for a pint and a pizza and my buddy Jones thought I'd been there the whole time. Man's had too many drinks, I'd say.",9,The killer made a mistake due to the change of plans. The mistake was,the route,"because to get to the cafe, you need to pass through the murder scene, so it is very suspicious getting to the cafe after the murder happened",Hard,17,,TRUE,"the time of day, leaving a witness"
10,Herring seems defensive and closed off.,It seems as though this witness doesn't want to be spoken to. I wonder why.,"Frog, he's inside the cafe","This is meant to look suspicious. He refuses to answer questions, giving only half-answers that do not clear him of the crime. Perhaps he IS guilty of something he doesn't want the police to know, but not murder.","13, Fake clue pointing to Herring",Cafe,What do you want? I'm busy. ,10,"At last, the killer went through the",sewers,,Medium,17,,TRUE,"alley, city square, club, cafe"
11,Herring asks for another drink,How long has he been here? He seems to be dealing with something. Guilt maybe?,"Frog, he's inside the cafe",Too obviously honing in maybe? Maybe a different npc,"13, Fake clue pointing to Herring",Cafe,"Hey, barkeep. Pour us another.",11,The killer is,frog,,Hard,"16, 19","10,11,12,13",TRUE,"laurie, herring"
12,Laurie (Slow Loris) is staring directly at the duo.,I don't like how she's looking at me. It's... unsettling. Does she know something?,"Frog, he's inside the cafe","The player may view this as suspicious, but either way the dialogue should suggest that she needs to be spoken to. Possible extra red herring (subtle) as well as providing the player with a clue","13, Fake clue pointing to Laurie",Cafe,I don't like how she's looking at me. It's... unsettling. Does she know something?,12,The murder happened in the,evening,,Medium,"1,7,14",,TRUE,"morning, midday, afternoon, night"
13,Laurie gives the player a cryptic answer.,"""What could this possibly mean? I'll have to keep an eye on her.""","Frog, he's inside the cafe","The riddle implicates one of the potential suspects. The player is not told exactly who, but Laurie heavily implies they were seen doing something suspicious at the time of the crime.","13, Fake clue pointing to Laurie",Cafe,"Red, red like blood. So much blood there was, and so much more there will be if he gets his way.",13,The killer exited the crime scene going,west,"question about direction, not place",Easy,"1,7,14",,TRUE,"east, south, north"
14,Map,Interact with the map in the office,Scorpion,"Together with another clue? The player figures out the city square connects all the places in the city, and knows that the killer could only have gone to the cafe or city square from the crime scene.",13,Office,"My trusty map. Helpful, when you want to plan your journey.",,,,,,,,,
15,"Laurie tells the player (cryptically) that she was bumped into by an incoming customer whose clothes were completely dry. When asked if she saw the person's face, she simply remarks that these new fangled diner lights are too bright for someone like her.",-,"Frog, he's inside the cafe",The player gets information from a cafe regular that implies the person who came in wasn't wearing the same clothes they were a moment ago. By this point it should be obvious they missed something in the alley where the killer dumped their things.,,,"Rude fellow he was, never even apologized for bumping into poor Laurie. Seemed to consider himself quite important, fancy new outfit and all. ",,,,,,,,,
16,Frog says that there weren't anyone suspicious who came in the cafe after him. He would know since he was the last person to come.,-,"Frog, he's inside the cafe",,11,Cafe,"I was the last one in, when it happened. I haven't seen a storm this bad in years! It was quite the traffic jam in the doorway, we all wanted out of the cold. ",,,,,,,,,
17,Bloody receipt in the sewers,-,Scorpion,Ties the cafe and sewers together. The killer went to the cafe at some point then to the sewers.,"8,10",Sewers,"Smeared fingerprints obscure the name of our customer. The killer must have come this way, and recently. ",,,,,,,,,
18,Red painted knife,"""Bloody"" knife which is next to a bunch of paint buckets in the alley","Frog, can see colors",Fake clue that frog put together. The player notices that the paint buckets behind the knife are all sorts of different colors and were probably used to paint the knife red.,"1, fake clue",Alley,"A knife, red like the blood splattered on the snow! But which is the real murder weapon, I wonder?",,,,,,,,,
19,Photograph of frog standing next to sister's hospital bed,Final scene in catacombs,"Scorpion, player is locked to scorpion during final scene",,11,Catacombs,"That's the sweet little girl I remember from the hospital all those years ago. A tragedy, how she passed... but that person next to her, I can't quite make them out. Why is this here?",,,,,,,,,
20,Insect leg,Remaining piece of digested body of victim,"Scorpion, he's already on the scene (frog gets a call while he's still inside cafe)",,2,Murder scene,Good thing I have a strong stomach. Whoever did this doesn't appear to have left much behind. ,,,,,,,,,
